code,term
10349009,Multi-infarct dementia with delirium
10361001,Exhaustion delirium
1093971000000100,Prevention of delirium care plan
112077003,Spatial disorientation
130987000,Acute confusion
130988005,Chronic confusion
139928000,O/E - mentally confused
139929008,O/E - delirious
140816001,O/E - disorientated
142011000119109,Alzheimer's disease co-occurrent with delirium
154849006,Senile dementia with delirium
154858004,(Transient organic psychoses) or (confusional state)
154859007,Delirium
15628411000119103,History of emergence delirium
162702000,On examination - mentally confused
162703005,On examination - delirious
163608000,On examination - disorientated
163609008,Confused
16535771000119101,History of delirium
186771000000100,Disorientated in time
190211000000104,Disorientated in time
191452002,Presenile dementia with delirium
191461002,Senile dementia with delirium
191500000,Acute confusional state (& [organic delirium] or [toxic])
191502008,"Acute confusional state, of infective origin"
191506006,Acute confusional state NOS
191507002,Subacute delirium
191509004,"Subacute confusional state, of infective origin"
191513006,Subacute confusional state NOS
191520004,Chronic confusional state
191678001,Reactive confusion
192183008,"[X]Delirium not superimposed on dementia, so described"
192184002,[X]Delirium superimposed on dementia
192185001,[X] Delirium: [mixed origin] or[other]
192186000,"[X]Delirium, unspecified"
192428007,[X] Dissociative (conversion) disorders: [other] or [Ganser's syndrome] or [multiple personality] or [psychogenic confusion] or [psychogenic twilight state]
1943009,Right-left disorientation
19657006,Disorientated in time
206780003,[D]Confusion
206799007,"[X]Disorientation, unspecified"
207613006,"[X]Disorientation, unspecified"
225439006,Not confused
225440008,Onset of confusion
231440006,Delirium of mixed origin
231441005,Delirium
268677005,[X]Other delirium
268746001,(Transient organic psychoses) or (confusional state)
271592006,Confused
274645001,"Disorientation, unspecified"
2776000,Delirium
280943007,Dissociative confusion
280994000,Chronic confusional state
281793005,Intermittent confusion
286933003,Confusional state
297861000000104,Confused speech content
31715000,Phencyclidine delirium
33084007,Personal identity confusion
363786006,Acute confusion
386255004,Delirium management
39538002,"Disorientation to person, time and place"
401971000000105,[X] Dissociative (conversion) disorders: [other] or [Ganser's syndrome] or [multiple personality] or [psychogenic confusion] or [psychogenic twilight state]
402771000000101,[X]Delirium superimposed on dementia
404906000,Post-operative confusion
40571009,Hallucinogen intoxication delirium
40917007,Clouded consciousness
414751000000103,"[X]Delirium, unspecified"
419567006,Delirious
423192007,At risk for acute confusion
426771000000107,[X]Other delirium
43746005,Taenia confusa
439408007,Level of confusion of sudden onset
441830002,Confusional arousal disorder
468031000000103,"[X]Disorientation, unspecified"
470731000000107,[X] Delirium: [mixed origin] or[other]
471881000000106,"[X]Delirium not superimposed on dementia, so described"
480341000000105,"[X]Disorientation, unspecified"
4817008,"Primary degenerative dementia of the Alzheimer type, senile onset, with delirium"
495861000000109,[D]Confusion
52866005,Opioid intoxication delirium
621191000000103,Acute confusional state NOS
621201000000101,Subacute confusional state NOS
62476001,Disorientated
62766000,Disorientation for person
65096006,"Primary degenerative dementia of the Alzheimer type, presenile onset, with delirium"
66797003,Disorientation as to self
683531000000104,"Disorientation, unspecified"
713119005,Monitoring confusion
72440003,Disorientated in place
724746000,Delirium due to multiple etiological factors
725898002,Delirium co-occurrent with dementia
770576004,Prevention of delirium care plan
792858001,Post-injection delirium sedation syndrome
823991000000108,Delirium care
83824009,Topographical agnosia
95653008,Acute confusional migraine
