code,term
100071000000104,C/O: hair loss
111024006,Alopecia liminaris frontalis
140017009,O/E - loss of hair
140020001,O/E - alopecia (& patches of)
140022009,O/E - loss of body hair
140023004,O/E - balding
156408004,Alopecia
162797000,On examination - loss of hair
162800003,O/E - alopecia (& patches of)
162803001,On examination - loss of body hair
162804007,On examination - balding
19754005,Alopecia totalis
201129005,(Alopecia) or (thinning of hair)
201130000,(Alopecia unspecified) or (baldness) or (hair loss)
201133003,Premature alopecia
201134009,Alopecia of pregnancy
201135005,Alopecia senilis
201136006,Alopecia febrilis
201137002,Alopecia localis
201138007,Diffuse alopecia
201139004,Cachectic alopecia
201140002,Alopecia follicularis
201141003,Alopecia neurotica
201142005,Peroneal alopecia
201143000,Alopecia seborrheica
201145007,Alopecia universalis
201147004,Telogen effluvium
201157003,Alopecia NOS
201397005,[X]Other specified nonscarring hair loss
205593003,(Congenital generalised alopecia) or (atrichosis)
23323004,Atrichia
238725004,Non-scarring alopecia
238727007,Circumscribed alopecia
238729005,Alopecia parvimaculata
238923001,Lipedematous alopecia
247541001,Partial loss of hair
247546006,Fine hair
267810004,Alopecia unspecified
268921005,On examination - patches of alopecia
270504008,Alopecia
27382006,Alopecia mucinosa
275950000,On examination - alopecia
278040002,Loss of hair
298000004,Loss of scalp hair
298001000,Loss of body hair
299671008,Loss of axillary hair
299672001,Loss of pubic hair
299674000,Patchy loss of scalp hair
299675004,Diffuse loss of scalp hair
39479004,Telogen effluvium
403325003,Postmenopausal frontal fibrosing alopecia
403326002,Post-partum telogen effluvium
403327006,Telogen effluvium of the newborn
403328001,Chronic telogen effluvium
403331000,Marginal alopecia
403332007,Brush roller alopecia
403334008,Brush alopecia
403335009,Chronic diffuse alopecia
407551001,Complaining of hair loss
409436003,Alopecia preparation
463541000000108,[X]Other specified nonscarring hair loss
56317004,Alopecia
59817009,Postinfectional hypotrichosis
65384007,Psychogenic alopecia
680001000000107,Alopecia NOS
68225006,Alopecia areata
685031000000109,Alopecia unspecified
701781007,Alopecia solution
717055000,Frontal fibrosing alopecia
720850008,Choroidal atrophy and alopecia syndrome
72164009,Inositol
723005006,Acute telogen effluvium
85661000000104,C/O: hair loss
86166000,Alopecia universalis
87038002,Postpartum alopecia
87872006,Male pattern alopecia
